sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
156,555.0,-1629.0,-59.0,-3183.0,-1424.0,991.0,0.59
157,669.0,-1699.0,-23.0,-3207.0,-1470.0,934.0,0.59
158,795.0,-1696.0,10.0,-3209.0,-1508.0,870.0,0.59
159,881.0,-1685.0,37.0,-3220.0,-1522.0,784.0,0.59
160,991.0,-1750.0,60.0,-3228.0,-1519.0,680.0,0.59
161,1113.0,-1828.0,106.0,-3172.0,-1472.0,564.0,0.66
162,1185.0,-1889.0,172.0,-3038.0,-1357.0,414.0,0.66
163,1201.0,-1859.0,261.0,-2838.0,-1196.0,242.0,0.66
164,1144.0,-1333.0,397.0,-2700.0,-878.0,108.0,0.66
165,-389.0,-1373.0,1261.0,-882.0,1003.0,542.0,0.66
166,-111.0,-763.0,268.0,3248.0,-730.0,409.0,0.66
167,-27.0,-988.0,173.0,2607.0,-449.0,145.0,0.66
168,-214.0,-919.0,195.0,2242.0,-215.0,-11.0,0.66
169,-116.0,-604.0,362.0,1848.0,-157.0,-206.0,0.66
170,210.0,-591.0,438.0,1261.0,-267.0,-96.0,0.66
171,-21.0,-995.0,37.0,741.0,-223.0,157.0,0.66
172,-9.0,-981.0,-47.0,626.0,-215.0,204.0,0.66
173,-67.0,-848.0,78.0,637.0,-185.0,202.0,0.66
174,7.0,-850.0,92.0,544.0,-174.0,174.0,0.66
175,62.0,-945.0,41.0,435.0,-159.0,230.0,0.66
176,-17.0,-997.0,8.0,389.0,-122.0,324.0,0.66
177,-65.0,-968.0,36.0,355.0,-66.0,398.0,0.66
178,-105.0,-977.0,41.0,108.0,-45.0,87.0,0.66
179,-110.0,-987.0,37.0,96.0,-46.0,72.0,0.66
180,-118.0,-994.0,34.0,89.0,-48.0,53.0,0.66
181,-105.0,-996.0,30.0,86.0,-52.0,33.0,0.66
182,-108.0,-996.0,29.0,88.0,-54.0,21.0,0.66
183,-109.0,-979.0,39.0,91.0,-54.0,7.0,0.66
184,-97.0,-974.0,41.0,86.0,-55.0,-4.0,0.66
185,-93.0,-969.0,44.0,83.0,-54.0,-6.0,0.66
186,-97.0,-972.0,44.0,78.0,-51.0,-8.0,0.66
187,-100.0,-976.0,44.0,70.0,-39.0,28.0,0.66
188,-112.0,-998.0,42.0,68.0,-45.0,-4.0,0.66
189,-124.0,-1000.0,44.0,69.0,-45.0,-17.0,0.66
190,-117.0,-993.0,49.0,65.0,-46.0,-41.0,0.66
191,-105.0,-1005.0,38.0,58.0,-46.0,-61.0,0.66
192,-90.0,-994.0,43.0,62.0,-49.0,-65.0,0.66
193,-94.0,-1001.0,41.0,67.0,-48.0,-56.0,0.66
194,-93.0,-1002.0,44.0,77.0,-49.0,-49.0,0.66
195,-87.0,-1011.0,39.0,86.0,-49.0,-44.0,0.66
196,-86.0,-1006.0,37.0,99.0,-50.0,-33.0,0.66
197,-96.0,-1003.0,46.0,110.0,-47.0,-27.0,0.66
198,-101.0,-1008.0,43.0,120.0,-47.0,-26.0,0.66
199,-329.0,-1959.0,-351.0,2589.0,-126.0,-1042.0,0.66
200,-74.0,-1959.0,-319.0,2955.0,-180.0,-1118.0,0.66
201,-18.0,-1959.0,-300.0,3277.0,-74.0,-1368.0,0.66
202,81.0,-1959.0,-411.0,3586.0,56.0,-1548.0,0.66
203,23.0,-1949.0,-461.0,3886.0,192.0,-1671.0,0.66
204,199.0,-1917.0,-446.0,4079.0,302.0,-1712.0,0.66
205,74.0,-1570.0,-193.0,4256.0,470.0,-1878.0,0.68
206,285.0,-1489.0,-434.0,4144.0,554.0,-1933.0,0.68
207,279.0,-1772.0,-296.0,4019.0,685.0,-1910.0,0.68
208,927.0,1728.0,-1056.0,3935.0,1154.0,-1934.0,0.68
209,-301.0,-153.0,-574.0,-1465.0,-676.0,-104.0,0.68
210,398.0,-1343.0,-45.0,-3127.0,-715.0,-455.0,0.68
211,403.0,-1310.0,11.0,-3189.0,-544.0,-400.0,0.68
212,320.0,-1402.0,51.0,-3309.0,-375.0,-465.0,0.68
213,215.0,-1600.0,88.0,-3396.0,-261.0,-585.0,0.68
214,126.0,-1692.0,125.0,-3386.0,-218.0,-647.0,0.68
215,-32.0,-1608.0,172.0,-3351.0,-229.0,-663.0,0.68
216,-281.0,-1566.0,200.0,-3384.0,-327.0,-716.0,0.68
217,-508.0,-1632.0,228.0,-3440.0,-555.0,-776.0,0.68
218,-630.0,-1726.0,273.0,-3438.0,-884.0,-806.0,0.68
219,-576.0,-1829.0,332.0,-3352.0,-1238.0,-793.0,0.68
220,-407.0,-1857.0,426.0,-3189.0,-1516.0,-670.0,0.68
221,153.0,-1782.0,669.0,-2891.0,-1689.0,231.0,0.68
222,-145.0,-890.0,78.0,525.0,-134.0,-14.0,0.68
223,-12.0,-955.0,22.0,419.0,-150.0,-99.0,0.68
224,-10.0,-970.0,1.0,373.0,-146.0,-58.0,0.68
225,-50.0,-979.0,10.0,348.0,-127.0,-25.0,0.68
226,-41.0,-992.0,4.0,329.0,-121.0,-26.0,0.68
227,-45.0,-956.0,34.0,319.0,-121.0,-15.0,0.68
228,-55.0,-963.0,20.0,285.0,-119.0,-4.0,0.68
229,-40.0,-952.0,24.0,262.0,-114.0,-14.0,0.68
230,-60.0,-990.0,22.0,115.0,-55.0,-122.0,0.68
231,-48.0,-986.0,25.0,33.0,-41.0,-70.0,0.68
232,-37.0,-978.0,29.0,39.0,-40.0,-77.0,0.68
233,-33.0,-988.0,21.0,39.0,-38.0,-75.0,0.68
234,-26.0,-986.0,25.0,43.0,-37.0,-67.0,0.68
235,-18.0,-988.0,24.0,42.0,-36.0,-55.0,0.68
236,-25.0,-990.0,24.0,43.0,-35.0,-37.0,0.68
237,-29.0,-992.0,22.0,46.0,-35.0,-21.0,0.68
238,-33.0,-993.0,20.0,51.0,-37.0,-8.0,0.68
239,-31.0,-989.0,22.0,56.0,-41.0,4.0,0.68
240,-39.0,-978.0,29.0,58.0,-41.0,11.0,0.68
