sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
168,310.0,-1514.0,997.0,-1728.0,-18.0,-992.0,0.0
169,-102.0,-1458.0,1114.0,-1426.0,310.0,-955.0,0.0
170,-440.0,-1378.0,1224.0,-1114.0,472.0,-764.0,0.0
171,-628.0,-1364.0,1280.0,-791.0,497.0,-443.0,0.0
172,-665.0,-1386.0,1261.0,-429.0,436.0,-108.0,0.0
173,-594.0,-1337.0,1158.0,-45.0,334.0,149.0,0.0
174,-517.0,-1197.0,1009.0,294.0,227.0,300.0,0.0
175,-485.0,-1090.0,853.0,531.0,112.0,377.0,0.0
176,-519.0,-1044.0,606.0,798.0,-208.0,567.0,0.0
177,-77.0,-925.0,76.0,317.0,-55.0,81.0,0.0
178,-102.0,-920.0,77.0,255.0,-34.0,79.0,0.0
179,-112.0,-937.0,77.0,193.0,-15.0,47.0,0.0
180,-97.0,-1005.0,29.0,150.0,-14.0,27.0,0.0
181,-112.0,-966.0,55.0,154.0,-14.0,24.0,0.0
182,-117.0,-971.0,53.0,136.0,-13.0,6.0,0.0
183,-106.0,-992.0,37.0,125.0,-16.0,-13.0,0.0
184,-113.0,-975.0,49.0,131.0,-17.0,-20.0,0.0
185,-108.0,-977.0,51.0,124.0,-18.0,-33.0,0.0
186,-97.0,-983.0,46.0,118.0,-19.0,-40.0,0.0
187,-94.0,-971.0,53.0,118.0,-18.0,-34.0,0.0
188,-94.0,-965.0,59.0,99.0,-14.0,-24.0,0.0
189,-99.0,-956.0,60.0,46.0,-9.0,2.0,0.0
190,-105.0,-958.0,61.0,41.0,-6.0,5.0,0.0
191,-106.0,-961.0,62.0,36.0,-5.0,3.0,0.0
192,-108.0,-968.0,57.0,32.0,-5.0,1.0,0.0
193,-104.0,-969.0,58.0,31.0,-5.0,-2.0,0.0
194,-109.0,-977.0,54.0,32.0,-6.0,-1.0,0.0
195,-104.0,-975.0,55.0,36.0,-5.0,-4.0,0.0
196,-106.0,-972.0,57.0,38.0,-5.0,-3.0,0.0
197,-112.0,-971.0,57.0,40.0,-5.0,-5.0,0.0
198,-108.0,-973.0,58.0,40.0,-6.0,-12.0,0.0
199,-108.0,-973.0,57.0,39.0,-6.0,-17.0,0.0
200,-103.0,-969.0,60.0,35.0,-6.0,-18.0,0.0
201,-43.0,-1172.0,39.0,310.0,-4.0,52.0,0.0
202,10.0,-1262.0,24.0,397.0,30.0,4.0,0.0
203,-75.0,-1439.0,-12.0,536.0,82.0,-71.0,0.0
204,33.0,-1367.0,3.0,711.0,95.0,-113.0,0.0
205,-373.0,-1887.0,-120.0,824.0,83.0,111.0,0.0
206,-102.0,-1433.0,21.0,1221.0,-48.0,151.0,0.0
207,-158.0,-1579.0,7.0,1354.0,-4.0,-82.0,0.0
208,-332.0,-1634.0,-6.0,1508.0,-18.0,-124.0,0.0
209,-220.0,-1548.0,-1.0,1697.0,-100.0,-179.0,0.0
210,-337.0,-1552.0,-37.0,1850.0,-110.0,-256.0,0.0
211,-231.0,-1597.0,-1.0,2008.0,-169.0,-298.0,0.0
212,-233.0,-1552.0,-30.0,2352.0,-169.0,-379.0,0.0
